CHANCE REMAINING,Mundësia e mbetur
FAILED ATTEMPT,Përpjekje e dështuar
Submit,Përfundo
Proceed,Vazhdo
Please Try Again,Ju lutemi provoni përsëri
Log-Out,Shkyçu
Take Survey,Bëj një testim
Module,Modul
Question,Pyetje
Result,Rezultat
Correct!!,Saktë!!
That is incorrect (please try again),Kjo është e pasaktë (Ju lutemi provoni përsëri)
Failed Module,Moduli dështoi.
Failed Module. You answered the question incorrectly 2 times.,Moduli dështoi. Ju u përgjigjët pyetjeve 2 herë gabim.
You must complete the module within 10 minutes.,Ju duhet ta përfundoni modulin brenda 10 minutave.
Congratulations. You have passed this module.,Urime. Ju e kaluat këtë modul.
Congratulations. You have passed all modules!,Urime. Ju i kaluat të gjitha modulet!
Please click here to download your certificate,Ju lutemi të klikoni këtu për të shkarkuar certifikatën tuaj