CHANCE REMAINING,"剩餘機會"
FAILED ATTEMPT,"失敗的嘗試"
Submit,"提交"
Proceed,"繼續"
Please Try Again,"請再試一遍"
Log-Out,"登出"
Take Survey,"參加調查"
Module,"模組"
Question,"題"
Result,"結果"
Correct!!,"正確！！"
That is incorrect (please try again),"那是不正確的（請重試）"
Failed Module,"模塊故障"
Failed Module. You answered the question incorrectly 2 times.,"模塊失敗。 您錯誤地回答了2次問題。"
You must complete the module within 10 minutes.,"您必須在10分鐘內完成該模塊。"
Congratulations. You have passed this module.,"恭喜你 您已經通過了此模塊。"
Congratulations. You have passed all modules!,"恭喜你 您已通過所有模塊！"
Please click here to download your certificate,"請點擊這裡下載您的證書"