CHANCE REMAINING,"તકો બાકી છે"
FAILED ATTEMPT,"નિષ્ફળ પ્રયાસ"
Submit,"સબમિટ કરો"
Proceed,"આગળ વધો"
Please Try Again,"મહેરબાની કરીને ફરીથી પ્રયતન કરો"
Log-Out,"લૉગ આઉટ"
Take Survey,"સર્વે લો"
Module,"મોડ્યુલ"
Question,"પ્રશ્ન"
Result,"પરિણામ"
Correct!!,"સાચો !!"
That is incorrect (please try again),"તે ખોટું છે (કૃપા કરીને ફરીથી પ્રયાસ કરો)"
Failed Module,"મોડ્યુલ નિષ્ફળ થયું"
Failed Module. You answered the question incorrectly 2 times.,"મોડ્યુલ નિષ્ફળ થયું. તમે સવાલનો જવાબ 2 વાર ખોટો આપ્યો છે."
You must complete the module within 10 minutes.,"તમારે 10 મિનિટની અંદર મોડ્યુલ પૂર્ણ કરવું આવશ્યક છે."
Congratulations. You have passed this module.,"અભિનંદન. તમે આ મોડ્યુલ પસાર કર્યું છે."
Congratulations. You have passed all modules!,"અભિનંદન. તમે બધા મોડ્યુલો પસાર કર્યા છે!"
Please click here to download your certificate,"કૃપા કરીને તમારું પ્રમાણપત્ર ડાઉનલોડ કરવા અહીં ક્લિક કરો"