CHANCE REMAINING,TENTATIVI RIMANENTI
FAILED ATTEMPT,TENTATIVO ERRATO
Submit,INVIA
Proceed,PROCEDI
Please Try Again,Prova di nuovo
Log-Out,Log-out
Take Survey,Fare il sondaggio
Module,Modulo
Question,Domanda
Result,Risultato
Correct!!,Corretto!!
That is incorrect (please try again),Errato (prova di nuovo)
Failed Module,Modulo errato
Failed Module. You answered the question incorrectly 2 times.,Modulo errato. Hai risposto in maniera errata 2 volte alla domanda
You must complete the module within 10 minutes.,Devi completare il modulo entro 10 minuti
Congratulations. You have passed this module.,Congratulazioni! Hai superato questo modulo!
Congratulations. You have passed all modules!,Congratulazioni! Hai superato tutti i moduli!
Please click here to download your certificate,Clicca qui per scaricare il tuo certificato