CHANCE REMAINING,POZOSTAŁE PRÓBY
FAILED ATTEMPT,NIEUDANE PRÓBY
Submit,Wyślij
Proceed,Kontynuuj
Please Try Again,Proszę spróbuj ponownie
Log-Out,Wyloguj
Take Survey,Wypełnij ankietę
Module,Moduł
Question,Pytanie
Result,Rezultat
Correct!!,Poprawnie!!
That is incorrect (please try again),Niepoprawnie (proszę spróbuj ponownie)
Failed Module,Nie zdałeś moduł
Failed Module. You answered the question incorrectly 2 times.,Nie zdałeś moduł. Udzieliłeś 2 błędnych odpowiedzi 
You must complete the module within 10 minutes.,Musisz zakończyć moduł w przeciągu 10 minut
Congratulations. You have passed this module.,Gratulacje. Zdałeś moduł.
Congratulations. You have passed all modules!,Gratulacje. Zdałeś wszystkie moduły!
Please click here to download your certificate,Proszę naciśnij tutaj aby pobrać certyfikat