CHANCE REMAINING,OPORTUNIDADES RESTANTES
FAILED ATTEMPT,INTENTO FALLIDO
Submit,Enviar
Proceed,Proceder
Please Try Again,"Por favor, intente nuevamente"
Log-Out,Salir
Take Survey,Hacer el examen
Module,Módulo
Question,Pregunta
Result,Resultado
Correct!!,¡Correcto!
That is incorrect (please try again),"Eso es incorrecto(por favor, intente nuevamente)"
Failed Module,Módulo suspenso
Failed Module. You answered the question incorrectly 2 times.,Módulo suspenso. Ha respondido la pregunta de forma incorrecta 2 veces.
You must complete the module within 10 minutes.,Debe completar el módulo en menos de 10 minutos.
Congratulations. You have passed this module.,Felicidades. Ha aprobado este módulo.
Congratulations. You have passed all modules!,Felicidades. ¡Ha aprobado todos los módulos!
Please click here to download your certificate,"Por favor, haga click aquí para descargar su certificado."