CHANCE REMAINING,KALAN ŞANS
FAILED ATTEMPT,BAŞARISIZ DENEME
Submit,Gönder
Proceed,İlerle
Please Try Again,Lütfen tekrar deneyin
Log-Out,Çıkış
Take Survey,Anketi doldur
Module,Modül
Question,Soru
Result,Sonuç
Correct!!,Doğru!!
That is incorrect (please try again),Yanlış(lütfen tekrar deneyin)
Failed Module,Başarısız modül
Failed Module. You answered the question incorrectly 2 times.,Başarısız modül. Soruya 2 kez yanlış cevap verdiniz.
You must complete the module within 10 minutes.,Modulü 10 dakika içinde tamamlamalısınız.
Congratulations. You have passed this module.,Tebrikler. Bu modülü geçtiniz.
Congratulations. You have passed all modules!,Tebrikler. Tüm modülleri geçtiniz.
Please click here to download your certificate,Sertifikanızı indirmek için lütfen buraya tıklayınız.